302946,6719948,"ilves"
303803,6719057,"ilves"
302876,6720175,"ilves"
293367,6738163,"ilves"
303069,6720088,"ilves"
302666,6720070,"ilves"
302806,6720437,"ilves"
302964,6718340,"ilves"
309624,6730541,"ilves"
302964,6720315,"ilves"
298541,6735436,"ilves"
300132,6728251,"ilves"
300481,6719318,"ilves"
312840,6731729,"ilves"
301793,6720315,"ilves"
313260,6730926,"ilves"
337820,6849070,"ilves"
340879,6839963,"ilves"
332996,6856866,"ilves"
332210,6847357,"ilves"
465822,6769113,"ilves"
394739,6750582,"ilves"
570216,6845241,"ilves"
577995,6836150,"ilves"
574412,6849174,"ilves"
573065,6850502,"ilves"
451961,6816988,"ilves"
441334,6815886,"ilves"
448151,6831479,"ilves"
446892,6829277,"ilves"
449776,6826812,"ilves"
448186,6831304,"ilves"
447661,6821288,"ilves"
553382,6830485,"ilves"
553295,6830346,"ilves"
563294,6818844,"ilves"
530440,7023990,"ilves"
528587,7028587,"ilves"
532118,7037939,"ilves"
520826,7038813,"ilves"
520826,7030894,"ilves"
525388,7032485,"ilves"
530964,7029898,"ilves"
522993,7035754,"ilves"
528937,7034566,"ilves"
528797,7034408,"ilves"
523290,7036716,"ilves"
531733,7036960,"ilves"
525808,7032048,"ilves"
521665,7034897,"ilves"
530842,7029759,"ilves"
523762,7031524,"ilves"
511557,6960167,"ilves"
512693,6959695,"ilves"
515193,6961740,"ilves"
560012,7303533,"ilves"
560956,7269423,"ahma"
544878,7283219,"ahma"
600369,7270335,"ilves"
598918,7277100,"ilves"
604389,7280753,"ilves"
579041,6879117,"ilves"
577416,6879920,"ilves"
573605,6881162,"ilves"
571314,6884134,"ilves"
237168,6984204,"ilves"
239755,6984484,"ilves"
239650,6984361,"ilves"
251519,6988084,"ilves"
259961,6966590,"ilves"
245768,6995252,"ilves"
240665,6987071,"ilves"
242587,6991371,"ilves"
244965,6991860,"susi"
240245,6984589,"susi"
245472,6996633,"ilves"
239371,6988714,"ilves"
251519,6988259,"ilves"
251117,6990340,"ilves"
243723,6997926,"ilves"
290817,6975791,"ilves"
634539,7053929,"susi"
632197,7049699,"susi"
621144,7183106,"ahma"
620270,7181673,"susi"
621493,7181009,"ahma"
629027,7183299,"ahma"
632488,7175957,"susi"
637733,7168632,"ilves"
637470,7168912,"susi"
637225,7168650,"ilves"
637558,7168353,"ahma"
633450,7178212,"ilves"
633816,7178037,"ahma"
557911,7188498,"ilves"
581615,7137543,"ilves"
625374,7254549,"ilves"
624657,7256332,"ilves"
625951,7260720,"ilves"
609449,7260108,"ilves"
555144,7121907,"ahma"
558590,6731253,"ilves"
593155,6783996,"ilves"
651372,6845332,"ilves"
653391,6844672,"ilves"
589676,6761325,"ilves"
470324,6773397,"ilves"
466146,6767999,"ilves"
546409,6768741,"ilves"
605387,6796627,"ilves"
648613,6837815,"ilves"
473223,6772997,"ilves"
467305,6780094,"ilves"
546529,6768741,"ilves"
529416,6735372,"ilves"
624201,6803746,"ilves"
589776,6760685,"ilves"
474123,6780554,"ilves"
467165,6768979,"ilves"
460908,6769219,"ilves"
584816,6799765,"ilves"
611732,6794481,"susi"
563548,6742288,"ilves"
589616,6762124,"ilves"
612942,6799969,"ilves"
460868,6770758,"ilves"
552167,6768562,"ilves"
610905,6788490,"susi"
537094,6714942,"ilves"
592915,6781557,"ilves"
561289,6738590,"ilves"
566385,6764423,"ilves"
587977,6760825,"ilves"
462887,6766620,"ilves"
462867,6770358,"ilves"
568904,6759165,"ilves"
605087,6782452,"ilves"
591833,6799025,"ilves"
473383,6769838,"ilves"
544950,6763184,"ilves"
552427,6772060,"ilves"
650153,6840994,"susi"
545915,6740549,"ilves"
546489,6768462,"ilves"
506128,6778137,"ilves"
549832,6761664,"ilves"
567565,6759605,"ilves"
624101,6807024,"susi"
617463,6816201,"ilves"
472203,6781494,"ilves"
468445,6768839,"ilves"
543331,6768422,"ilves"
546249,6766202,"ilves"
574242,6755107,"susi"
460527,6736849,"ilves"
649033,6841813,"susi"
626360,6807424,"susi"
624261,6807084,"susi"
601589,6787230,"ilves"
590713,6799225,"ilves"
